Angol,Magyar,Magyar - egyéb jelentés,Fordító
herd,csorda,,https://translate.google.com/#en/hu/herd
loon,fajankó,,https://translate.google.com/#en/hu/loon
frightened,rémült,,https://translate.google.com/#en/hu/frightened
outgrow,túlnő,,https://translate.google.com/#en/hu/outgrow
fidelity,hűség,,https://translate.google.com/#en/hu/fidelity
deceiving,csal,,https://translate.google.com/#en/hu/deceiving
sturdy,erős,,https://translate.google.com/#en/hu/sturdy
acknowledged,elismert,,https://translate.google.com/#en/hu/acknowledged
saddle,nyereg,,https://translate.google.com/#en/hu/saddle
otherwise,másképp,különben,https://translate.google.com/#en/hu/otherwise
nonetheless,ennek ellenére,,https://translate.google.com/#en/hu/nonetheless
discipline,fegyelem,,https://translate.google.com/#en/hu/discipline
imply,utal,,https://translate.google.com/#en/hu/imply
bail out,meglóg,,https://translate.google.com/#en/hu/bail%20out
bail,óvadék,,https://translate.google.com/#en/hu/bail
choppy,fodrozódó,"bizonytalan, repedezett",https://translate.google.com/#en/hu/choppy
my understanding,az értelmezésem,,https://translate.google.com/#en/hu/my%20understanding
cover up,eltussolni,,https://translate.google.com/#en/hu/cover%20up
stingy,fukar,,https://translate.google.com/#en/hu/stingy
generous,nagylelkű,,https://translate.google.com/#en/hu/generous
chevron,szarufa,rendfokozati jelzés,https://translate.google.com/#en/hu/chevron
grain,gabona,szemcse,https://translate.google.com/#en/hu/grain
dozens,Több tucat,,https://translate.google.com/#en/hu/dozens
potentially,potenciálisan,,https://translate.google.com/#en/hu/potentially
cut corners,spórol,,https://translate.google.com/#en/hu/cut%20corners
work my ass off,dolgozni a seggem,,https://translate.google.com/#en/hu/work%20my%20ass%20off
afterwards,később,,https://translate.google.com/#en/hu/afterwards
follow-up,"utólagos, követés",utólagos,https://translate.google.com/#en/hu/follow-up
afterthought,utógondolat,,https://translate.google.com/#en/hu/afterthought
candidate,jelölt,,https://translate.google.com/#en/hu/candidate
whereas,mivel,"minthogy, habár, miután",https://translate.google.com/#en/hu/whereas
to provision,a rendelkezés,,https://translate.google.com/#en/hu/to%20provision
provisioning,tartalékolási,,https://translate.google.com/#en/hu/provisioning
provision,"fedezet, ellátás, tartalék",,https://translate.google.com/#en/hu/provision
deviate,"eltér, letér",,https://translate.google.com/#en/hu/deviate
augment,fokozza,nagyobbodik,https://translate.google.com/#en/hu/augment
counterpart,hasonmás,,https://translate.google.com/#en/hu/counterpart
handful,maréknyi,,https://translate.google.com/#en/hu/handful
peripheral,kerületi,,https://translate.google.com/#en/hu/peripheral
hit the road,útnak indul,útra kerül,https://translate.google.com/#en/hu/hit%20the%20road
various,különféle,,https://translate.google.com/#en/hu/various
designated,kijelölt,,https://translate.google.com/#en/hu/designated
nifty,csinos,,https://translate.google.com/#en/hu/nifty
caveats,kifogások,,https://translate.google.com/#en/hu/caveats
chubby,pufók,,https://translate.google.com/#en/hu/chubby
in the course of the day,a nap folyamán,,https://translate.google.com/#en/hu/in%20the%20course%20of%20the%20day
consent,beleegyezés,,https://translate.google.com/#en/hu/consent
fine line,szép vonal,vékeny mezsgye,https://translate.google.com/#en/hu/fine%20line
possessed,megszállott,,https://translate.google.com/#en/hu/possessed
smackdown,leszámolás,,https://translate.google.com/#en/hu/smackdown
rebound,visszapattan,,https://translate.google.com/#en/hu/rebound
hammy,Hammy,exaggerated or over-theatrical,https://translate.google.com/#en/hu/hammy
exaggerated,túlzott,,https://translate.google.com/#en/hu/exaggerated
substantial,lényeges,,https://translate.google.com/#en/hu/substantial
does something to me,csinál valamit nekem,,https://translate.google.com/#en/hu/does%20something%20to%20me
hideous,förtelmes,,https://translate.google.com/#en/hu/hideous
whatsoever,akármi,,https://translate.google.com/#en/hu/whatsoever
deluded,megtévesztett,,https://translate.google.com/#en/hu/deluded
delude,becsap,,https://translate.google.com/#en/hu/delude
twain,"kettő, pár",pár,https://translate.google.com/#en/hu/twain
acquire,szerez,,https://translate.google.com/#en/hu/acquire
improper,helytelen,,https://translate.google.com/#en/hu/improper
cringy,"ciki, kínos","ciki, kínos, zavarba ejtő",https://translate.google.com/#en/hu/cringy
to cringe,a szervilizmus,megalázkodik,https://translate.google.com/#en/hu/to%20cringe
crotch,ágyék,,https://translate.google.com/#en/hu/crotch
congruent,egybevágó,megegyező,https://translate.google.com/#en/hu/congruent
bearable,elviselhető,,https://translate.google.com/#en/hu/bearable
grief,bánat,,https://translate.google.com/#en/hu/grief
intel,hírszerzés,,https://translate.google.com/#en/hu/intel
reimburse,térít,,https://translate.google.com/#en/hu/reimburse
accuse,vádol,,https://translate.google.com/#en/hu/accuse
realm,birodalom,,https://translate.google.com/#en/hu/realm
predominantly,Főleg,,https://translate.google.com/#en/hu/predominantly
entry,belépés,nevezés,https://translate.google.com/#en/hu/entry
entries,bejegyzés,,https://translate.google.com/#en/hu/entries
corresponds,"megfelel, összhangban van",összhangban van,https://translate.google.com/#en/hu/corresponds
delimit,körülhatárol,,https://translate.google.com/#en/hu/delimit
revise,"felülvizsgál, átdolgoz",,https://translate.google.com/#en/hu/revise
in particular,különösen,,https://translate.google.com/#en/hu/in%20particular
granularity,részletesség,,https://translate.google.com/#en/hu/granularity
in a figurative sense,átvitt értelemben,,https://translate.google.com/#en/hu/in%20a%20figurative%20sense
ordeal,megpróbáltatás,,https://translate.google.com/#en/hu/ordeal
summon,megidéz,,https://translate.google.com/#en/hu/summon
adhere,tapad,,https://translate.google.com/#en/hu/adhere
attentive,figyelmes,gondos,https://translate.google.com/#en/hu/attentive
aperture,nyílás,"rekesz, rés",https://translate.google.com/#en/hu/aperture
advise,értesít,,https://translate.google.com/#en/hu/advise
deliberately,szándékosan,,https://translate.google.com/#en/hu/deliberately
I suggest,ajánlom,azt javaslom,https://translate.google.com/#en/hu/I%20suggest
moisture,nedvesség,,https://translate.google.com/#en/hu/moisture
cherish,"dédelget, kedvel",,https://translate.google.com/#en/hu/cherish
ambient,környező,,https://translate.google.com/#en/hu/ambient
at your expense,a te költségeden,,https://translate.google.com/#en/hu/at%20your%20expense
kind of makes me wondering,kicsit elgondolkodtat,,https://translate.google.com/#en/hu/kind%20of%20makes%20me%20wondering
patent,szabadalom,,https://translate.google.com/#en/hu/patent
boasting,magasztalás,,https://translate.google.com/#en/hu/boasting
boast,dicsekszik,,https://translate.google.com/#en/hu/boast
stale,állott,,https://translate.google.com/#en/hu/stale
get my head around it,"megért, zöld ágra vergődik",understand or come to terms with,https://translate.google.com/#en/hu/get%20my%20head%20around%20it
laud,dicsér,,https://translate.google.com/#en/hu/laud
that will make you grin,hogy fog vigyorogni,,https://translate.google.com/#en/hu/that%20will%20make%20you%20grin
approvingly,helyeslően,,https://translate.google.com/#en/hu/approvingly
overshot,előre-,"túlhalad, túloz",https://translate.google.com/#en/hu/overshot
shift,váltás,elmozdul,https://translate.google.com/#en/hu/shift
thrive,gyarapszik,,https://translate.google.com/#en/hu/thrive
appreciation,felértékelődés,,https://translate.google.com/#en/hu/appreciation
inherent,velejáró,,https://translate.google.com/#en/hu/inherent
belief,hit,,https://translate.google.com/#en/hu/belief
delight,élvezet,,https://translate.google.com/#en/hu/delight
to conclude,következtetni,,https://translate.google.com/#en/hu/to%20conclude
sign off,kijelentkezés,befejez,https://translate.google.com/#en/hu/sign%20off
perimeter,kerülete,,https://translate.google.com/#en/hu/perimeter
procrastinator,halogató,,https://translate.google.com/#en/hu/procrastinator
epiphany,vízkereszt,,https://translate.google.com/#en/hu/epiphany
cerebral,"agyi-, agyhoz tartozó",,https://translate.google.com/#en/hu/cerebral
on a regular basis,rendszeresen,,https://translate.google.com/#en/hu/on%20a%20regular%20basis
examining,vizsgáló,,https://translate.google.com/#en/hu/examining
unexamined,nem vizsgált,,https://translate.google.com/#en/hu/unexamined
decisive,döntő (tényező),,https://translate.google.com/#en/hu/decisive
dread,retteg,,https://translate.google.com/#en/hu/dread
exquisitely,tökéletesen,,https://translate.google.com/#en/hu/exquisitely
dull,unalmas,,https://translate.google.com/#en/hu/dull
pastoral,pásztori,,https://translate.google.com/#en/hu/pastoral
stain,folt,bepiszkít,https://translate.google.com/#en/hu/stain
"weep, wept",Sírni sírt,,https://translate.google.com/#en/hu/weep%2C%20wept
excel,"jeleskedik, túltesz, felülmúl",,https://translate.google.com/#en/hu/excel
extent,"mérték, kiterjedés, hatáskör","terjedelem, méret, hatáskör",https://translate.google.com/#en/hu/extent
flattering,hízelgő,,https://translate.google.com/#en/hu/flattering
weave,szövés,,https://translate.google.com/#en/hu/weave
fine grained,finomszemcsés,,https://translate.google.com/#en/hu/fine%20grained
reap,arat,,https://translate.google.com/#en/hu/reap
handkerchief,zsebkendő,,https://translate.google.com/#en/hu/handkerchief
sinister,baljós,,https://translate.google.com/#en/hu/sinister
illegible,olvashatatlan,,https://translate.google.com/#en/hu/illegible
emphasys,hangsúlyos,,https://translate.google.com/#en/hu/emphasys
emphasize,hangsúlyt helyez,,https://translate.google.com/#en/hu/emphasize
take the heat,elviseli a bírálatot,,https://translate.google.com/#en/hu/take%20the%20heat
implicate,"belevon, belekever (bajba)",belekeveredik,https://translate.google.com/#en/hu/implicate
uneasy,"kényelmentlen, aggódó",,https://translate.google.com/#en/hu/uneasy
conventional,hagyományos,,https://translate.google.com/#en/hu/conventional
inundate,elönt,,https://translate.google.com/#en/hu/inundate
fishy,gyanús,,https://translate.google.com/#en/hu/fishy
weighing,mérés,,https://translate.google.com/#en/hu/weighing
flourishing,virágzó,,https://translate.google.com/#en/hu/flourishing
sorcery,varázslás,,https://translate.google.com/#en/hu/sorcery
inference,"következtetés, megállapítás",,https://translate.google.com/#en/hu/inference
although,habár,"noha, jóllehet",https://translate.google.com/#en/hu/although
however,azonban,de,https://translate.google.com/#en/hu/however
adjacent,szomszédos,,https://translate.google.com/#en/hu/adjacent
obscure,homályos,,https://translate.google.com/#en/hu/obscure
instinct,ösztön,,https://translate.google.com/#en/hu/instinct
atrocious,kegyetlen,,https://translate.google.com/#en/hu/atrocious
horrendous,borzasztó,,https://translate.google.com/#en/hu/horrendous
devote,"szán, szentel vmit vmire, dedikál",,https://translate.google.com/#en/hu/devote
bias,"elfogult, torzít",,https://translate.google.com/#en/hu/bias
eager,"mohó, buzgó",,https://translate.google.com/#en/hu/eager
grope,tapogatózva keres,,https://translate.google.com/#en/hu/grope
inception,kezdet,,https://translate.google.com/#en/hu/inception
retrospect,visszapillantás,,https://translate.google.com/#en/hu/retrospect
extinct,kihalt,,https://translate.google.com/#en/hu/extinct
spoiled,elkényeztetett,,https://translate.google.com/#en/hu/spoiled
ought,kellene,,https://translate.google.com/#en/hu/ought
ought to be enough,elégnek kell lennie,,https://translate.google.com/#en/hu/ought%20to%20be%20enough
descriptive,leíró,,https://translate.google.com/#en/hu/descriptive
confounded,átkozott,,https://translate.google.com/#en/hu/confounded
arity,argumentumainak száma,,https://translate.google.com/#en/hu/arity
unary,egyváltozós,,https://translate.google.com/#en/hu/unary
one-off,egyszeri,,https://translate.google.com/#en/hu/one-off
bollocks,baromság,,https://translate.google.com/#en/hu/bollocks
possibly,esetlegesen,,https://translate.google.com/#en/hu/possibly
I am yet to do something,Én még tenni valamit,,https://translate.google.com/#en/hu/I%20am%20yet%20to%20do%20something
come up with,előjön valamivel,,https://translate.google.com/#en/hu/come%20up%20with
foundations,alapok,,https://translate.google.com/#en/hu/foundations
to complete,teljesíteni,kiegészít,https://translate.google.com/#en/hu/to%20complete
inferior,alárendelt,,https://translate.google.com/#en/hu/inferior
pillar,pillér,,https://translate.google.com/#en/hu/pillar
the vast majority of,A túlnyomó többsége,,https://translate.google.com/#en/hu/the%20vast%20majority%20of
commencing,megkezdődő,,https://translate.google.com/#en/hu/commencing
fully functioning car,teljesen működőképes autó,,https://translate.google.com/#en/hu/fully%20functioning%20car
